,AMZN,GME,GOOG,JPM,SPY,XOM
2004-09-29,0.03576,0.021934999999999996,,0.007618000000000001,0.005032,-0.00783
2004-09-30,0.00049,0.018712,,0.00126,-0.0007149999999999999,0.003738
2004-10-01,-0.009545,0.02215,,0.015354000000000001,0.016911,0.011587
2004-10-04,0.013343,0.05444,,-0.006,0.0016719999999999999,0.0006140000000000001
2004-10-05,-0.001219,0.014034999999999999,,-0.007545,0.000527,0.008177
2004-10-06,0.009766,-0.016807000000000002,,0.0007599999999999999,0.006321,0.014395999999999999
2004-10-07,-0.005077000000000001,-0.048768000000000006,,0.001013,-0.010208,-0.005797
2004-10-08,-0.027947000000000003,-0.010570999999999999,,0.0030359999999999996,-0.008286,0.00201
2004-10-11,0.00375,0.021368,,-0.00681,0.004089,-0.001003
2004-10-12,0.0017430000000000002,0.004184,,0.003301,-0.003895,-0.008435
2004-10-13,-0.005967,-0.018229,,-0.006834,-0.008798,-0.018027
2004-10-14,-0.022011,-0.02122,,-0.018094,-0.008069,0.004744
2004-10-15,-0.014066,0.034688,,0.00545,0.0056040000000000005,0.006364
2004-10-18,0.018677,0.000524,,0.006711,0.003775,-0.005508
2004-10-19,-0.023937,-0.008901,,-0.026154,-0.008417000000000001,-0.009026
2004-10-20,0.000522,0.011094,,-0.019221,-0.001987,0.011592
2004-10-21,0.029205000000000002,0.017764,,0.012081,0.006515,-0.0012280000000000001
2004-10-22,-0.123385,-0.010780000000000001,,-0.006101,-0.011236999999999999,-0.002254
2004-10-25,-0.018208,-0.003633,,-0.01201,-0.0011819999999999999,0.0022589999999999997
2004-10-26,-0.0041210000000000005,0.013021,,0.012696,0.015291999999999998,0.011883
2004-10-27,0.011824,0.028791999999999998,,0.014137,0.012014,-0.008909
2004-10-28,0.006427,-0.005496999999999999,,0.012099,0.0030120000000000004,-0.006946
2004-10-29,-0.009288999999999999,-0.015578000000000002,,0.0031190000000000002,-0.000177,0.012549
2004-11-01,0.028421,0.01123,,-0.002591,0.0027389999999999997,-0.008127
2004-11-02,0.032479,0.01262,,0.0012989999999999998,0.00035200000000000005,-0.007989000000000001
2004-11-03,-0.00883,-0.004985,,0.007782,0.012594000000000001,0.017345
2004-11-04,0.027561,0.017034,,0.020335000000000002,0.013654999999999999,0.018673
