,AMZN,GME,GOOG,JPM,SPY,XOM
2004-09-29,2.042,1.5292,,23.6783,77.4578,25.731
2004-09-30,2.043,1.5579,,23.7081,77.4024,25.8272
2004-10-01,2.023,1.5924,,24.0721,78.7113,26.1265
2004-10-04,2.051,1.679,,23.9277,78.8429,26.1425
2004-10-05,2.048,1.7026,,23.7472,78.8845,26.3563
2004-10-06,2.068,1.674,,23.7652,79.3831,26.7357
2004-10-07,2.058,1.5924,,23.7893,78.5728,26.5807
2004-10-08,2.0,1.5755,,23.8615,77.9218,26.6342
2004-10-11,2.007,1.6092,,23.699,78.2404,26.6074
2004-10-12,2.011,1.6159,,23.7772,77.9357,26.383
2004-10-13,1.999,1.5865,,23.6148,77.25,25.9074
2004-10-14,1.955,1.5528,,23.1875,76.6267,26.0303
2004-10-15,1.927,1.6067,,23.3139,77.0561,26.1959
2004-10-18,1.964,1.6075,,23.4703,77.347,26.0517
2004-10-19,1.916,1.5932,,22.8565,76.6959,25.8165
2004-10-20,1.918,1.6109,,22.4172,76.5436,26.1158
2004-10-21,1.974,1.6395,,22.688,77.0422,26.0837
2004-10-22,1.73,1.6218,,22.5496,76.1765,26.0249
2004-10-25,1.699,1.6159,,22.2788,76.0865,26.0837
2004-10-26,1.692,1.637,,22.5616,77.25,26.3937
2004-10-27,1.711,1.6841,,22.8806,78.1781,26.1585
2004-10-28,1.723,1.6748,,23.1574,78.4135,25.9768
2004-10-29,1.707,1.6487,,23.2296,78.3997,26.3028
2004-11-01,1.755,1.6673,,23.1694,78.6144,26.0891
2004-11-02,1.812,1.6883,,23.1995,78.6421,25.8807
2004-11-03,1.796,1.6799,,23.3801,79.6325,26.3295
2004-11-04,1.846,1.7085,,23.8555,80.7198,26.8212
2004-11-05,1.828,1.812,,23.681,81.2254,26.9281
2004-11-08,1.866,1.9231,,23.6388,81.1077,26.8105
2004-11-09,1.87,1.8507,,23.5365,80.9484,26.4935
2004-11-10,1.905,1.8011,,23.4402,81.0107,26.6869
2004-11-11,1.942,1.8002,,23.5787,81.6271,26.6816
2004-11-12,2.023,1.9778,,23.5726,82.2712,27.0899
2004-11-15,2.045,1.9484,,23.5666,82.4733,26.6386
2004-11-16,2.003,1.8777,,23.1514,81.8829,26.5472
2004-11-17,1.995,1.8516,,23.031,82.3691,26.8642
2004-11-18,2.019,1.8432,,22.7602,82.4803,26.8911
2004-11-19,1.927,1.7287,,22.5195,81.5634,27.0684
2004-11-22,1.902,1.6656,,22.5977,81.9524,27.3532
2004-11-23,1.916,1.7338,,22.6037,82.0774,27.509
2004-11-24,1.938,1.8078,,22.688,82.2719,27.6648
2004-11-26,1.955,1.8263,,22.682,82.2094,27.7508
2004-11-29,1.947,1.7969,,22.4533,81.8343,27.6003
2004-11-30,1.984,1.775,,22.6579,81.8899,27.5358
2004-12-01,1.999,1.7758,,23.037,82.8207,27.4821
2004-12-02,2.009,1.7725,,23.1333,82.8901,26.9556
2004-12-03,2.005,1.7674,,22.9046,82.8346,27.0093
2004-12-06,1.975,1.7708,,22.9407,82.8068,26.9395
2004-12-07,1.91,1.7758,,22.7542,82.0357,26.7031
2004-12-08,1.936,1.8028,,22.5977,82.515,26.875
2004-12-09,1.991,1.8028,,22.682,82.8068,27.0362
2004-12-10,1.953,1.8221,,22.6459,82.8901,26.9448
2004-12-13,1.991,1.8095,,23.019,83.6125,27.2242
