ReportDate,Barrid,YieldPerc,TotalRiskPerc,SpecRiskPerc,HistBeta,PredBeta,DataDate
2018.09.28,DA001974,3.329999,15.82009,2.47922,1.376776,1.334395,2018.09.28
2018.09.28,DA001517,2.138404,17.59073,3.932685,0.861284,1.216764,2018.09.28
2018.09.28,DA109942,3.883064,15.5697,6.137765,0.877485,0.994382,2018.09.28
2018.10.01,DA001974,3.329962,15.43862,2.246053,1.376414,1.328284,2018.10.01
2018.10.01,DA001517,2.140602,17.24608,3.787221,0.8621,1.217458,2018.10.01
2018.10.01,DA109942,3.880793,15.26478,5.873617,0.878097,0.994785,2018.10.01
2018.10.02,DA001974,3.328003,15.92089,2.096375,1.375141,1.338397,2018.10.02
2018.10.02,DA001517,2.140913,17.88072,3.715995,0.860266,1.239975,2018.10.02
2018.10.02,DA109942,3.883403,15.71445,5.885852,0.876597,1.009856,2018.10.02
2018.10.03,DA001974,3.334696,15.32627,2.232281,1.374561,1.312265,2018.10.03
2018.10.03,DA001517,2.140913,17.18296,3.628144,0.862381,1.214216,2018.10.03
2018.10.03,DA109942,3.879663,15.13679,5.455322,0.878958,0.997308,2018.10.03
2018.10.04,DA001517,2.143323,18.27243,3.663026,0.862001,1.24505,2018.10.04
2018.10.04,DA109942,3.881379,15.90848,4.968383,0.881821,1.025943,2018.10.04
2018.10.05,DA001517,2.148254,18.39067,3.712321,0.859152,1.247808,2018.10.05
2018.10.05,DA109942,3.887194,16.43387,5.451145,0.891118,1.042408,2018.10.05
2018.10.08,DA001517,2.147284,18.73437,3.995521,0.838222,1.265697,2018.10.08
2018.10.08,DA109942,3.896819,17.00779,5.545075,0.895333,1.090585,2018.10.08
2018.10.09,DA001517,2.147284,17.89213,4.015654,0.829921,1.197213,2018.10.09
2018.10.09,DA109942,3.897614,16.66992,6.224973,0.897531,1.048875,2018.10.09
2018.10.10,DA001517,2.158687,18.13977,4.207032,0.826109,1.195633,2018.10.10
2018.10.10,DA109942,3.897614,16.57945,5.793557,0.895943,1.048918,2018.10.10
2018.10.11,DA001517,2.156738,22.02721,4.484358,0.836665,1.230796,2018.10.11
2018.10.11,DA109942,3.89789,20.74,5.977791,0.915501,1.11025,2018.10.11
2018.10.12,DA001517,2.15432,23.27787,4.719202,0.861572,1.261873,2018.10.12
