ReportDate,Barrid,YieldPerc,TotalRiskPerc,SpecRiskPerc,HistBeta,PredBeta,DataDate
2018.09.28,ETF50,1.879639,9.904999,1.163935,1.007868,1.010028,2018.09.28
2018.09.28,ETF46,1.028076,13.23216,3.021266,1.242996,1.247196,2018.09.28
2018.10.01,ETF50,1.881485,9.82016,1.18199,1.008403,1.010445,2018.10.01
2018.10.01,ETF46,1.027347,13.19013,3.076016,1.243766,1.247446,2018.10.01
2018.10.02,ETF50,1.887663,9.84367,1.158735,1.00714,1.009497,2018.10.02
2018.10.02,ETF46,1.034304,13.2373,3.036113,1.243751,1.248615,2018.10.02
2018.10.03,ETF50,1.886261,9.512419,1.193099,1.008376,1.009972,2018.10.03
2018.10.03,ETF46,1.034597,12.92254,3.156944,1.244552,1.253883,2018.10.03
2018.10.04,ETF50,1.896062,11.58698,1.197196,1.005669,1.008714,2018.10.04
2018.10.04,ETF46,1.041617,15.40576,3.189559,1.253684,1.25875,2018.10.04
2018.10.05,ETF50,1.902542,11.96595,1.201479,0.999316,1.00466,2018.10.05
2018.10.05,ETF46,1.042938,16.14264,3.225674,1.280276,1.27828,2018.10.05
2018.10.08,ETF50,1.910599,12.5547,1.178757,0.995719,1.003551,2018.10.08
2018.10.08,ETF46,1.047375,17.01233,3.163511,1.288661,1.286403,2018.10.08
2018.10.09,ETF50,1.907771,12.67233,1.227347,0.994705,1.002883,2018.10.09
2018.10.09,ETF46,1.047482,17.26632,3.296279,1.288346,1.286592,2018.10.09
2018.10.10,ETF50,1.925619,18.00791,1.172177,0.990222,1.001496,2018.10.10
2018.10.10,ETF46,1.055774,23.23207,3.117942,1.276688,1.247096,2018.10.10
2018.10.11,ETF50,1.918187,19.50008,1.38023,0.999396,1.006004,2018.10.11
2018.10.11,ETF46,1.051552,24.2039,3.695554,1.224868,1.20549,2018.10.11
2018.10.12,ETF50,1.906133,16.53545,1.411561,1.002096,1.006218,2018.10.12
2018.10.12,ETF46,1.046077,20.88679,3.643041,1.212033,1.207869,2018.10.12
2018.10.15,ETF50,1.913357,16.41689,1.267446,0.999526,1.005486,2018.10.15
2018.10.15,ETF46,1.049448,20.63119,3.254661,1.21354,1.204702,2018.10.15
2018.10.16,ETF50,1.903087,13.49158,1.262544,0.997712,1.00199,2018.10.16
2018.10.16,ETF46,1.045429,17.27884,3.280693,1.206987,1.199425,2018.10.16
2018.10.17,ETF50,1.904462,13.28962,1.219568,0.997105,1.001934,2018.10.17
2018.10.17,ETF46,1.045221,17.07175,3.168279,1.212107,1.201668,2018.10.17
2018.10.18,ETF50,1.914043,15.22959,1.209281,0.992615,1.000158,2018.10.18
2018.10.18,ETF46,1.051284,19.30624,3.165722,1.215433,1.203764,2018.10.18
2018.10.19,ETF50,1.921668,15.02618,1.341186,0.988093,0.99818,2018.10.19
2018.10.19,ETF46,1.055171,19.28392,3.555651,1.219411,1.210814,2018.10.19
2018.10.22,ETF50,1.915306,14.7986,1.280245,0.98896,0.997685,2018.10.22
2018.10.22,ETF46,1.052079,18.9951,3.368902,1.21547,1.206535,2018.10.22
2018.10.23,ETF50,1.919662,15.53574,1.305479,0.987573,0.997358,2018.10.23
2018.10.23,ETF46,1.052302,19.74108,3.401086,1.204511,1.19755,2018.10.23
2018.10.24,ETF50,1.935024,18.69257,1.366996,0.978757,0.99464,2018.10.24
2018.10.24,ETF46,1.061738,23.61522,3.56723,1.214949,1.198915,2018.10.24
2018.10.25,ETF50,1.921799,17.91308,1.73923,0.98249,0.99558,2018.10.25
2018.10.25,ETF46,1.053074,22.87846,4.596348,1.215318,1.203015,2018.10.25
2018.10.26,ETF50,1.928462,17.8046,1.680776,0.98111,0.995924,2018.10.26
2018.10.26,ETF46,1.063469,22.71787,4.387545,1.215324,1.199188,2018.10.26
2018.10.29,ETF50,1.9439,18.15926,1.684008,0.976655,0.996907,2018.10.29
2018.10.29,ETF46,1.078043,23.46109,4.33845,1.233268,1.216094,2018.10.29
2018.10.30,ETF50,1.943523,17.13704,1.998309,0.977076,0.996856,2018.10.30
2018.10.30,ETF46,1.081771,22.39063,5.296892,1.220358,1.215875,2018.10.30
2018.10.31,ETF50,2.05334,15.58316,2.030887,0.982184,0.996321,2018.10.31
2018.10.31,ETF46,1.128219,20.88987,5.367415,1.231771,1.229549,2018.10.31
2018.11.01,ETF50,2.04826,14.18432,1.960279,0.982933,0.993969,2018.11.01
2018.11.01,ETF46,1.126468,19.59332,5.108807,1.249291,1.240937,2018.11.01
2018.11.02,ETF50,2.051874,14.27316,1.986405,0.980717,0.992906,2018.11.02
2018.11.02,ETF46,1.122791,19.64433,5.24575,1.245848,1.238223,2018.11.02
2018.11.05,ETF50,2.060311,14.55234,1.860015,0.978247,0.993073,2018.11.05
2018.11.05,ETF46,1.132191,19.7815,4.829873,1.24655,1.234009,2018.11.05
2018.11.06,ETF50,2.058899,14.48838,1.793203,0.979911,0.993782,2018.11.06
2018.11.06,ETF46,1.133586,19.48989,4.662004,1.238652,1.22876,2018.11.06
2018.11.07,ETF50,2.048193,11.96848,1.757961,0.985526,0.995737,2018.11.07
2018.11.07,ETF46,1.124501,16.80016,4.541859,1.251051,1.243985,2018.11.07
2018.11.08,ETF50,2.049611,12.21895,1.637576,0.986173,0.996017,2018.11.08
2018.11.08,ETF46,1.132689,16.99008,4.249698,1.252759,1.244879,2018.11.08
2018.11.09,ETF50,2.059264,12.6777,1.612114,0.981228,0.994564,2018.11.09
2018.11.09,ETF46,1.136318,17.53714,4.189493,1.255288,1.249002,2018.11.09
2018.11.12,ETF50,2.072697,14.91356,1.570498,0.975064,0.993538,2018.11.12
2018.11.12,ETF46,1.140878,20.26872,4.079416,1.269319,1.255427,2018.11.12
2018.11.13,ETF50,2.071311,14.63342,1.606793,0.976194,0.994008,2018.11.13
2018.11.13,ETF46,1.141667,19.86453,4.196604,1.274188,1.25638,2018.11.13
2018.11.14,ETF50,2.074136,15.5396,1.569341,0.975631,0.99353,2018.11.14
2018.11.14,ETF46,1.138808,20.80149,4.078573,1.271178,1.250973,2018.11.14
2018.11.15,ETF50,2.070871,14.64097,1.619753,0.978608,0.993311,2018.11.15
2018.11.15,ETF46,1.142886,19.76674,4.206348,1.274356,1.2528,2018.11.15
2018.11.16,ETF50,2.079343,13.31675,1.58055,0.976551,0.993038,2018.11.16
2018.11.16,ETF46,1.151676,18.14345,4.099547,1.270337,1.251632,2018.11.16
2018.11.19,ETF50,2.098533,14.73136,1.51093,0.967458,0.991276,2018.11.19
2018.11.19,ETF46,1.173926,20.21184,3.940294,1.271646,1.268452,2018.11.19
2018.11.20,ETF50,2.097709,16.49059,1.60162,0.967737,0.991461,2018.11.20
2018.11.20,ETF46,1.171801,22.31301,4.235629,1.282268,1.265622,2018.11.20
2018.11.21,ETF50,2.092003,15.30403,1.580921,0.972296,0.992467,2018.11.21
2018.11.21,ETF46,1.166987,20.78713,4.140185,1.2787,1.267136,2018.11.21
2018.11.23,ETF50,2.092436,15.83475,1.452669,0.970723,0.992271,2018.11.23
2018.11.23,ETF46,1.16958,21.26377,3.773597,1.277463,1.262013,2018.11.23
2018.11.26,ETF50,2.085738,13.93327,1.43469,0.973766,0.991652,2018.11.26
