ReportDate,Barrid,YieldPerc,TotalRiskPerc,SpecRiskPerc,HistBeta,PredBeta,DataDate
2018.09.28,ETF66,4.156329,11.49585,1.85941,0.904474,0.989431,2018.09.28
2018.09.28,DA001928,3.611062,11.80098,1.753949,1.233342,1.109277,2018.09.28
2018.10.01,ETF66,4.130003,11.73477,1.816255,0.90023,0.983338,2018.10.01
2018.10.01,DA001928,3.588683,12.09912,1.796209,1.230367,1.109593,2018.10.01
2018.10.02,ETF66,4.135499,11.74042,1.83847,0.900072,0.984985,2018.10.02
2018.10.02,DA001928,3.594591,12.08682,1.767379,1.231065,1.109077,2018.10.02
2018.10.03,ETF66,4.140628,11.37476,1.842845,0.899792,0.98374,2018.10.03
2018.10.03,DA001928,3.597557,11.73472,1.803055,1.231946,1.109858,2018.10.03
2018.10.04,ETF66,4.151377,12.25895,1.856406,0.901947,0.979205,2018.10.04
2018.10.04,DA001928,3.612329,12.69278,1.830242,1.231274,1.106658,2018.10.04
2018.10.05,ETF66,4.150215,12.11519,1.844149,0.901401,0.973829,2018.10.05
2018.10.05,DA001928,3.612576,12.62939,1.85547,1.227054,1.107039,2018.10.05
2018.10.08,ETF66,4.152696,12.46639,1.856198,0.905179,0.9714,2018.10.08
2018.10.08,DA001928,3.612819,13.06777,1.847669,1.217479,1.106992,2018.10.08
2018.10.09,ETF66,4.152638,12.32579,1.817603,0.912496,0.975994,2018.10.09
2018.10.09,DA001928,3.615547,12.78465,1.884458,1.205204,1.099035,2018.10.09
2018.10.10,ETF66,4.167891,14.42084,1.995608,0.91102,0.967575,2018.10.10
2018.10.10,DA001928,3.642753,15.1605,1.975599,1.188002,1.098622,2018.10.10
2018.10.11,ETF66,4.158479,15.25273,2.011087,0.909299,0.968274,2018.10.11
2018.10.11,DA001928,3.638051,15.92584,2.032292,1.17192,1.080791,2018.10.11
2018.10.12,ETF66,4.186105,15.0501,2.040855,0.91861,0.973714,2018.10.12
2018.10.12,DA001928,3.63038,15.48484,2.070553,1.168328,1.06994,2018.10.12
2018.10.15,ETF66,4.193991,14.6074,2.043446,0.91524,0.973317,2018.10.15
2018.10.15,DA001928,3.633704,15.02726,2.03279,1.160367,1.070672,2018.10.15
2018.10.16,ETF66,4.184861,15.22177,2.028166,0.916168,0.96733,2018.10.16
2018.10.16,DA001928,3.622484,15.72286,1.995582,1.160435,1.067419,2018.10.16
2018.10.17,ETF66,4.184538,15.27044,2.127766,0.91388,0.968745,2018.10.17
2018.10.17,DA001928,3.623601,15.75337,2.042998,1.160557,1.068411,2018.10.17
2018.10.18,ETF66,4.183572,15.19031,2.084129,0.911767,0.964938,2018.10.18
2018.10.18,DA001928,3.629894,15.76735,2.092156,1.158345,1.070287,2018.10.18
2018.10.19,ETF66,4.184922,15.28084,2.152926,0.910091,0.963994,2018.10.19
2018.10.19,DA001928,3.630454,15.9627,2.133349,1.156612,1.076299,2018.10.19
2018.10.22,ETF66,4.16449,14.39355,2.051699,0.901509,0.956246,2018.10.22
2018.10.22,DA001928,3.628421,15.14796,2.106732,1.157403,1.077609,2018.10.22
2018.10.23,ETF66,4.180179,15.14604,2.190554,0.895264,0.952748,2018.10.23
2018.10.23,DA001928,3.633536,16.06012,2.136226,1.15401,1.077724,2018.10.23
2018.10.24,ETF66,4.176567,15.58887,2.289985,0.885809,0.946925,2018.10.24
2018.10.24,DA001928,3.624162,16.57293,2.204485,1.150167,1.076818,2018.10.24
2018.10.25,ETF66,4.14181,15.71246,2.310292,0.876071,0.934738,2018.10.25
2018.10.25,DA001928,3.615681,16.8441,2.20436,1.149929,1.075906,2018.10.25
2018.10.26,ETF66,4.171389,15.60093,2.394907,0.880919,0.942756,2018.10.26
2018.10.26,DA001928,3.617418,16.61615,2.225435,1.145598,1.074872,2018.10.26
2018.10.29,ETF66,4.17782,15.48327,2.507815,0.882716,0.938123,2018.10.29
2018.10.29,DA001928,3.657826,16.56158,2.269545,1.145747,1.074464,2018.10.29
2018.10.30,ETF66,4.181091,14.84354,2.496866,0.884246,0.937313,2018.10.30
2018.10.30,DA001928,3.656008,15.86546,2.299277,1.144606,1.07383,2018.10.30
2018.10.31,ETF66,4.432936,15.15459,2.498927,0.889287,0.940599,2018.10.31
2018.10.31,DA001928,3.79019,15.92216,2.366819,1.139991,1.07167,2018.10.31
2018.11.01,ETF66,4.43304,15.89413,2.7115,0.887077,0.953168,2018.11.01
2018.11.01,DA001928,3.762674,15.99619,2.340963,1.130135,1.060742,2018.11.01
2018.11.02,ETF66,4.430754,15.44741,2.617247,0.882854,0.951302,2018.11.02
2018.11.02,DA001928,3.764352,15.57939,2.292185,1.130124,1.058703,2018.11.02
2018.11.05,ETF66,4.437289,15.32656,2.611871,0.878611,0.951579,2018.11.05
2018.11.05,DA001928,3.767459,15.40353,2.227034,1.129574,1.05633,2018.11.05
2018.11.06,ETF66,4.43308,14.66308,2.516255,0.877386,0.949445,2018.11.06
2018.11.06,DA001928,3.768423,14.76426,2.189953,1.130662,1.058119,2018.11.06
2018.11.07,ETF66,4.429393,14.50698,2.548671,0.87586,0.948331,2018.11.07
2018.11.07,DA001928,3.772573,14.64361,2.200287,1.130492,1.05825,2018.11.07
2018.11.08,ETF66,4.430613,14.18587,2.529975,0.875626,0.948449,2018.11.08
2018.11.08,DA001928,3.773476,14.24948,2.133669,1.12954,1.057557,2018.11.08
2018.11.09,ETF66,4.424225,14.46915,2.541145,0.872774,0.947109,2018.11.09
2018.11.09,DA001928,3.771846,14.56872,2.130193,1.127346,1.059158,2018.11.09
2018.11.12,ETF66,4.427073,14.70099,2.615819,0.874527,0.951071,2018.11.12
2018.11.12,DA001928,3.774936,14.76004,2.184455,1.125919,1.057949,2018.11.12
2018.11.13,ETF66,4.427145,14.89549,2.598514,0.87493,0.953822,2018.11.13
2018.11.13,DA001928,3.772909,14.87946,2.179719,1.124445,1.057109,2018.11.13
2018.11.14,ETF66,4.427209,14.6865,2.654302,0.874154,0.953851,2018.11.14
2018.11.14,DA001928,3.775792,14.66531,2.135554,1.119405,1.055836,2018.11.14
2018.11.15,ETF66,4.425093,15.88641,2.891478,0.873495,0.979394,2018.11.15
2018.11.15,DA001928,3.773882,15.15021,2.240055,1.115273,1.042617,2018.11.15
2018.11.16,ETF66,4.426815,15.26102,2.812733,0.873816,0.978987,2018.11.16
2018.11.16,DA001928,3.774053,14.48184,2.208068,1.112435,1.039887,2018.11.16
2018.11.19,ETF66,4.429141,14.89009,2.740526,0.870714,0.976818,2018.11.19
2018.11.19,DA001928,3.783006,14.13783,2.104074,1.111146,1.040146,2018.11.19
2018.11.20,ETF66,4.424985,15.56585,2.702631,0.859931,0.965938,2018.11.20
2018.11.20,DA001928,3.780758,14.99496,2.061081,1.109808,1.043078,2018.11.20
2018.11.21,ETF66,4.428209,15.20855,2.601374,0.859676,0.96325,2018.11.21
2018.11.21,DA001928,3.77968,14.69919,2.018184,1.11172,1.042974,2018.11.21
