ReportDate,Barrid,YieldPerc,TotalRiskPerc,SpecRiskPerc,HistBeta,PredBeta,DataDate
2018.09.28,DA000368,2.006304,13.35667,1.120062,1.020212,1.024818,2018.09.28
2018.10.01,DA000368,2.007224,13.55286,1.11083,1.020912,1.025412,2018.10.01
2018.10.02,DA000368,2.011044,13.81859,1.083993,1.021427,1.026234,2018.10.02
2018.10.03,DA000368,2.010058,13.73988,1.082899,1.020446,1.026383,2018.10.03
2018.10.04,DA000368,2.016134,14.93995,1.079871,1.022088,1.026361,2018.10.04
2018.10.05,DA000368,2.018213,14.57429,1.050431,1.021063,1.025862,2018.10.05
2018.10.09,DA000368,2.020909,15.46052,1.07274,1.019435,1.025332,2018.10.09
2018.10.10,DA000368,2.022336,14.8153,1.098215,1.018541,1.025395,2018.10.10
2018.10.11,DA000368,2.026731,21.23617,1.073884,1.016805,1.025246,2018.10.11
2018.10.12,DA000368,2.023052,20.27323,1.094203,1.019171,1.026044,2018.10.12
2018.10.15,DA000368,2.025458,21.98745,1.084634,1.019116,1.025878,2018.10.15
2018.10.16,DA000368,2.030256,19.17816,1.082809,1.019714,1.02582,2018.10.16
2018.10.17,DA000368,2.027434,16.46908,1.052701,1.019844,1.024849,2018.10.17
2018.10.18,DA000368,2.030207,17.51807,1.042974,1.018283,1.025367,2018.10.18
2018.10.19,DA000368,2.030162,17.43146,1.015511,1.017657,1.025775,2018.10.19
2018.10.22,DA000368,2.03069,16.9181,0.97819,1.017569,1.025749,2018.10.22
2018.10.23,DA000368,2.032653,20.20498,1.000891,1.01769,1.025664,2018.10.23
2018.10.24,DA000368,2.030688,19.40764,1.004693,1.01668,1.026094,2018.10.24
2018.10.25,DA000368,2.036621,22.33905,1.015368,1.015446,1.025934,2018.10.25
2018.10.26,DA000368,2.042436,21.41844,1.039298,1.014864,1.025377,2018.10.26
2018.10.29,DA000368,2.046423,21.36061,1.084461,1.013529,1.024553,2018.10.29
2018.10.30,DA000368,2.044519,20.17449,1.158991,1.01439,1.023913,2018.10.30
2018.10.31,DA000368,2.237225,19.87603,1.248908,1.015826,1.022533,2018.10.31
2018.11.01,DA000368,2.231757,19.77883,1.389142,1.019807,1.0209,2018.11.01
2018.11.02,DA000368,2.228168,19.12519,1.427563,1.024714,1.02087,2018.11.02
2018.11.05,DA000368,2.22955,21.41988,1.41883,1.025384,1.021343,2018.11.05
2018.11.06,DA000368,2.231054,20.24719,1.38932,1.025025,1.021174,2018.11.06
