ReportDate,Barrid,Factor,Exposure,DataDate
2018.09.28,DA000368,JPNEFMTRD_ANLYSTSN,0.007896,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_BETA,0.095782,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_DIVYILD,0.006856,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_EARNQLTY,0.035049,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_EARNVAR,-0.02013,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_EARNYILD,0.094568,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_ESG,0.071359,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_FOREIGN_SENS,0.113233,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_GROWTH,-0.024739,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_INDMOM,-0.030474,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_INVSQLTY,0.056961,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_LEVERAGE,0.049263,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_LIQUIDTY,0.068379,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_LTREVRSL,-0.009871,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_MIDCAP,-0.048121,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_MLFAC,0.01375,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_MOMENTUM,-0.006091,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_PROFIT,-0.043434,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_RESVOL,-0.047476,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_SEASON,0.022343,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_SHORTINT,-0.046594,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_STREVRSL,-0.005791,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_SIZE,0.087632,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_CROWD,0.024313,2018.09.28
2018.09.28,DA000368,JPNEFMTRD_VALUE,0.037675,2018.09.28
2018.10.01,DA000368,JPNEFMTRD_ANLYSTSN,0.010424,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_BETA,0.09527,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_DIVYILD,0.007108,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_EARNQLTY,0.034252,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_EARNVAR,-0.021617,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_EARNYILD,0.09438,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_ESG,0.074316,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_FOREIGN_SENS,0.113414,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_GROWTH,-0.02432,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_INDMOM,-0.035923,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_INVSQLTY,0.057075,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_LEVERAGE,0.049021,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_LIQUIDTY,0.068266,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_LTREVRSL,-0.009791,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_MIDCAP,-0.048386,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_MLFAC,0.016945,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_MOMENTUM,-0.007345,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_PROFIT,-0.0435,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_RESVOL,-0.04783,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_SEASON,0.02499,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_SHORTINT,-0.046968,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_STREVRSL,0.004951,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_SIZE,0.087928,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_CROWD,0.023145,2018.10.01
2018.10.01,DA000368,JPNEFMTRD_VALUE,0.037379,2018.10.01
2018.10.02,DA000368,JPNEFMTRD_ANLYSTSN,0.009208,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_BETA,0.095871,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_DIVYILD,0.00653,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_EARNQLTY,0.034162,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_EARNVAR,-0.020208,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_EARNYILD,0.093233,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_ESG,0.074278,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_FOREIGN_SENS,0.112443,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_GROWTH,-0.022818,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_INDMOM,-0.036279,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_INVSQLTY,0.056101,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_LEVERAGE,0.049548,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_LIQUIDTY,0.067851,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_LTREVRSL,-0.009586,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_MIDCAP,-0.047533,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_MLFAC,0.008315,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_MOMENTUM,-0.008975,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_PROFIT,-0.043657,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_RESVOL,-0.047375,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_SEASON,0.020404,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_SHORTINT,-0.046372,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_STREVRSL,0.009203,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_SIZE,0.086711,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_CROWD,0.023766,2018.10.02
2018.10.02,DA000368,JPNEFMTRD_VALUE,0.037236,2018.10.02
2018.10.03,DA000368,JPNEFMTRD_ANLYSTSN,0.010487,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_BETA,0.095826,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_DIVYILD,0.006247,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_EARNQLTY,0.034068,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_EARNVAR,-0.020839,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_EARNYILD,0.093461,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_ESG,0.074337,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_FOREIGN_SENS,0.112696,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_GROWTH,-0.021646,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_INDMOM,-0.038801,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_INVSQLTY,0.057282,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_LEVERAGE,0.048733,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_LIQUIDTY,0.067585,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_LTREVRSL,-0.009365,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_MIDCAP,-0.047736,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_MLFAC,0.004897,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_MOMENTUM,-0.009668,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_PROFIT,-0.043418,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_RESVOL,-0.047432,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_SEASON,0.020821,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_SHORTINT,-0.052259,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_STREVRSL,0.014089,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_SIZE,0.086519,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_CROWD,0.022979,2018.10.03
2018.10.03,DA000368,JPNEFMTRD_VALUE,0.037029,2018.10.03
2018.10.04,DA000368,JPNEFMTRD_ANLYSTSN,0.005517,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_BETA,0.095805,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_DIVYILD,0.007089,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_EARNQLTY,0.034214,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_EARNVAR,-0.020215,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_EARNYILD,0.093441,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_ESG,0.074901,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_FOREIGN_SENS,0.112318,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_GROWTH,-0.021426,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_INDMOM,-0.041507,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_INVSQLTY,0.056688,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_LEVERAGE,0.049148,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_LIQUIDTY,0.068004,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_LTREVRSL,-0.008598,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_MIDCAP,-0.047991,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_MLFAC,0.008492,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_MOMENTUM,-0.009945,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_PROFIT,-0.043819,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_RESVOL,-0.047528,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_SEASON,0.021653,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_SHORTINT,-0.054433,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_STREVRSL,0.014571,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_SIZE,0.087106,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_CROWD,0.022654,2018.10.04
2018.10.04,DA000368,JPNEFMTRD_VALUE,0.037923,2018.10.04
2018.10.05,DA000368,JPNEFMTRD_ANLYSTSN,0.005796,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_BETA,0.095154,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_DIVYILD,0.006202,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_EARNQLTY,0.034086,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_EARNVAR,-0.020625,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_EARNYILD,0.092403,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_ESG,0.075202,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_FOREIGN_SENS,0.111678,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_GROWTH,-0.021505,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_INDMOM,-0.045336,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_INVSQLTY,0.056336,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_LEVERAGE,0.049685,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_LIQUIDTY,0.068372,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_LTREVRSL,-0.007664,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_MIDCAP,-0.047794,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_MLFAC,-0.003658,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_MOMENTUM,-0.009976,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_PROFIT,-0.044135,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_RESVOL,-0.047855,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_SEASON,0.015737,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_SHORTINT,-0.059838,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_STREVRSL,0.014298,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_SIZE,0.086806,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_CROWD,0.021752,2018.10.05
2018.10.05,DA000368,JPNEFMTRD_VALUE,0.037172,2018.10.05
2018.10.09,DA000368,JPNEFMTRD_ANLYSTSN,0.006259,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_BETA,0.095707,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_DIVYILD,0.004839,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_EARNQLTY,0.033936,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_EARNVAR,-0.021041,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_EARNYILD,0.092257,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_ESG,0.075668,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_FOREIGN_SENS,0.112068,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_GROWTH,-0.02062,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_INDMOM,-0.042478,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_INVSQLTY,0.056458,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_LEVERAGE,0.049915,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_LIQUIDTY,0.068955,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_LTREVRSL,-0.007523,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_MIDCAP,-0.048086,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_MLFAC,-0.00161,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_MOMENTUM,-0.009868,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_PROFIT,-0.044366,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_RESVOL,-0.049437,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_SEASON,0.00519,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_SHORTINT,-0.059706,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_STREVRSL,0.013079,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_SIZE,0.086636,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_CROWD,0.022544,2018.10.09
2018.10.09,DA000368,JPNEFMTRD_VALUE,0.036717,2018.10.09
2018.10.10,DA000368,JPNEFMTRD_ANLYSTSN,0.007966,2018.10.10
2018.10.10,DA000368,JPNEFMTRD_BETA,0.09489,2018.10.10
2018.10.10,DA000368,JPNEFMTRD_DIVYILD,0.00589,2018.10.10
2018.10.10,DA000368,JPNEFMTRD_EARNQLTY,0.033859,2018.10.10
