FactorGroup,Model,ModelVer,Factor,FactorDisplayName,FactorNum,StartDate,EndDate,ReportDate
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_ANLYSTSN,"""JP Analyst Sentiment""",1,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_BETA,"""JP Beta""",2,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_CARBONEFF,"""JP Carbon Efficiency""",3,2021.01.04,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_DIVYILD,"""JP Dividend Yield""",4,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_EARNQLTY,"""JP Earnings Quality""",5,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_EARNVAR,"""JP Earnings Variability""",6,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_EARNYILD,"""JP Earnings Yield""",7,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_ESG,"""JP ESG""",8,2007.01.31,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_FOREIGN_SENS,"""JP Foreign Sensitivity""",9,2006.07.31,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_GROWTH,"""JP Growth""",10,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_INDMOM,"""JP Industry Momentum""",11,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_INVSQLTY,"""JP Investment Quality""",12,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_LEVERAGE,"""JP Leverage""",13,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_LIQUIDTY,"""JP Liquidity""",14,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_LTREVRSL,"""JP Long-Term Reversal""",15,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_MIDCAP,"""JP Mid Capitalization""",16,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_MLFAC,"""JP ML Factor""",17,2000.07.31,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_MOMENTUM,"""JP Momentum""",18,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_PROFIT,"""JP Profitability""",19,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_RESVOL,"""JP Residual Volatility""",20,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_SEASON,"""JP Seasonality""",21,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_SHORTINT,"""JP Short Interest""",22,2007.06.29,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_STREVRSL,"""JP Short-Term Reversal""",23,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_SIZE,"""JP Size""",24,1994.12.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_CROWD,"""JP Stock Crowding""",25,1995.06.30,2075.12.31,2023.07.01
"""1-Risk Indices""",JPNEFMTRD,100,JPNEFMTRD_VALUE,"""JP Value""",26,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_AUTO,"""JP Automobiles and Parts""",27,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_BANKS,"""JP Banks""",28,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_MEDIA,"""JP Broadcasting Media""",29,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_OUTSOURC,"""JP Business Outsourcing Services""",30,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_CHEMICAL,"""JP Chemicals""",31,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_COMPUTER,"""JP Computer and Telecom Equipment""",32,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_CBLOANS,"""JP Consumer and Bank Loans""",33,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_CONSSERV,"""JP Consumer Services""",34,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_STORES,"""JP Department Store GMS and Super Market""",35,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_DRUGS,"""JP Drugs""",36,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_UTILITY,"""JP Electricity and Gas Utilities""",37,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_ELECTRON,"""JP Electronic Parts""",38,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_ENERGY,"""JP Energy""",39,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_FACTORY,"""JP Factory Equipment""",40,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_APPARELS,"""JP Fiber and Apparel""",41,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_FOODBEV,"""JP Food and Beverage""",42,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_GLASS,"""JP Glass""",43,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_LOGISTIC,"""JP Goods and Materials Logistics""",44,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_HOUSECOS,"""JP Household and Cosmetics""",45,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_BUILDING,"""JP Housing and Building""",46,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_INDPARTS,"""JP Industrial Parts""",47,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_INFRACON,"""JP Infrastructure Construction""",48,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_INSURANC,"""JP Insurance""",49,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_METALS,"""JP Metals""",50,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_MISCPROD,"""JP Miscellaneous Consumer Products""",51,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_ELECGOOD,"""JP Miscellaneous Electric Goods""",52,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_OHELEC,"""JP Office and Home Electronics""",53,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_PAPER,"""JP Paper and Pulp""",54,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_PASSENGR,"""JP Passenger Transportation Services""",55,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_PLANTMAC,"""JP Plant Machinery and Engineering""",56,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_PRECSNEQ,"""JP Precision Equipment""",57,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_REALEST,"""JP Real Estate""",58,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_REGBANKS,"""JP Regional Banks""",59,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_SECURITY,"""JP Securities""",60,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_SEMICOND,"""JP Semiconductor and Equipment""",61,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_SOFTSYS,"""JP Software Systems""",62,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_SVEHICLE,"""JP Special Vehicles""",63,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_RETAILER,"""JP Specialty Retailers""",64,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_TRADHOUS,"""JP Trading Houses""",65,1994.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_GAMES,"""JP Games""",66,1997.09.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_TELECOM,"""JP Telecommunications""",67,1997.09.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_INTERNET,"""JP Internet""",68,1999.12.30,2075.12.31,2023.07.01
"""2-Industries""",JPNEFMTRD,100,JPNEFMTRD_REITS,"""JP REITS""",69,2004.06.30,2075.12.31,2023.07.01
"""5-Market""",JPNEFMTRD,100,JPNEFMTRD_COUNTRY,"""JP Country""",70,1994.12.30,2075.12.31,2023.07.01
