,AMZN,GME,GOOG,JPM,SPY,XOM
2015-09-30,25.595,7.8695,30.421,48.6478,166.1146,51.4578
2015-10-01,26.036,7.7377,30.565,49.0069,166.548,51.2571
2015-10-02,26.627,7.9248,31.345,48.8703,169.0359,52.5168
2015-10-05,27.184,8.112,32.074,49.8427,172.0438,53.1604
2015-10-06,26.874,8.2762,32.272,49.8668,171.4544,53.9079
2015-10-07,27.097,8.2953,32.118,49.9311,172.8587,54.8145
2015-10-08,26.658,8.3984,31.958,49.9311,174.419,55.389
2015-10-09,26.99,8.4805,32.181,49.7704,174.523,54.8561
2015-10-12,27.51,8.3908,32.334,49.6016,174.6877,54.8837
2015-10-13,27.445,8.3106,32.615,49.465,173.5868,54.7868
2015-10-14,27.242,8.2208,32.558,48.2113,172.7547,55.479
2015-10-15,28.122,8.3889,33.087,49.7382,175.4072,56.3925
2015-10-16,28.538,8.4901,33.11,50.1722,176.2047,57.0846
2015-10-19,28.658,8.5397,33.305,50.0034,176.2914,56.0534
2015-10-20,28.044,8.6123,32.514,50.2445,176.0487,55.9427
2015-10-21,27.789,8.7918,32.13,49.8748,174.9738,55.5136
2015-10-22,28.196,8.9713,32.59,50.783,177.9298,57.3684
2015-10-23,29.952,8.66,35.1,51.3295,179.8802,57.4307
2015-10-26,30.431,8.5302,35.639,51.3536,179.4381,56.2126
2015-10-27,30.551,8.45,35.425,51.1446,179.0913,56.1226
2015-10-28,30.855,8.6982,35.648,52.6394,181.1284,56.9462
2015-10-29,31.327,8.7288,35.846,52.4064,181.0244,56.9116
2015-10-30,31.295,8.7975,35.54,51.6348,180.2443,57.2646
2015-11-02,31.418,8.8185,36.056,52.6716,182.3767,59.0225
2015-11-03,31.265,8.9274,36.108,52.8644,182.9055,60.1091
2015-11-04,32.048,8.9465,36.406,52.9207,182.3507,59.507
2015-11-05,32.783,8.9637,36.563,53.3948,182.1687,58.6972
2015-11-06,32.969,8.9407,36.688,55.0182,182.0733,58.4619
2015-11-09,32.775,8.6887,36.245,54.1583,180.3743,57.2122
2015-11-10,32.984,8.7727,36.416,54.3914,180.7904,57.4915
2015-11-11,33.663,8.513,36.77,54.1262,180.0795,56.9819
2015-11-12,33.28,8.5034,36.562,53.0412,177.5657,55.439
2015-11-13,32.118,7.0999,35.85,52.6876,175.5719,54.5244
2015-11-16,32.39,7.2737,36.448,53.4511,178.2418,56.4792
2015-11-17,32.165,7.0961,36.265,53.1457,178.1118,55.823
